team,fifa_rank,fifa_points,rank_date
Spain,8.0,1729.92,2024-06-20
Sri Lanka,205.0,820.32,2024-06-20
St Kitts and Nevis,146.0,1059.53,2024-06-20
St Lucia,168.0,979.57,2024-06-20
St Vincent and the Grenadines,174.0,938.4,2024-06-20
Sudan,121.0,1152.29,2024-06-20
Suriname,141.0,1087.77,2024-06-20
Sweden,28.0,1522.19,2024-06-20
Switzerland,19.0,1617.24,2024-06-20
Syria,93.0,1246.68,2024-06-20
Tahiti,161.0,999.48,2024-06-20
Tajikistan,102.0,1212.41,2024-06-20
Tanzania,114.0,1174.99,2024-06-20
Thailand,100.0,1218.56,2024-06-20
The Gambia,132.0,1112.55,2024-06-20
Timor-Leste,196.0,843.4,2024-06-20
Togo,120.0,1158.7,2024-06-20
Tonga,200.0,833.12,2024-06-20
Trinidad and Tobago,99.0,1219.44,2024-06-20
Tunisia,41.0,1494.06,2024-06-20
Turkey,42.0,1493.38,2024-06-20
Turkmenistan,144.0,1065.42,2024-06-20
Turks and Caicos Islands,206.0,817.03,2024-06-20
US Virgin Islands,208.0,797.29,2024-06-20
USA,11.0,1676.52,2024-06-20
Uganda,94.0,1242.96,2024-06-20
Ukraine,24.0,1565.37,2024-06-20
United Arab Emirates,69.0,1368.84,2024-06-20
Uruguay,14.0,1663.44,2024-06-20
Uzbekistan,62.0,1397.41,2024-06-20
Vanuatu,170.0,972.14,2024-06-20
Venezuela,54.0,1442.29,2024-06-20
Vietnam,116.0,1168.02,2024-06-20
Wales,29.0,1521.4,2024-06-20
Yemen,155.0,1021.24,2024-06-20
Yugoslavia,16.0,687.0,2002-11-20
Zaire,59.0,496.0,1999-11-17
Zambia,90.0,1258.4,2024-06-20
Zimbabwe,129.0,1122.54,2024-06-20
